Timestamp,Status,ResponseTime_Sec,ErrorMessage,ScreenshotPath
"2026-08-11T06:26:24.656Z","SUCCESS",7.40,"None","N/A"
"2026-08-11T06:29:09.265Z","SUCCESS",18.54,"None","quella_success_1786429755104.png"
"2026-08-11T06:33:11.018Z","SUCCESS",30.89,"None","quella_success_1786430006403.png"
"2026-08-11T06:35:49.609Z","SUCCESS",51.17,"None","quella_success_1786430184450.png"
"2026-08-11T06:35:45.039Z","SUCCESS",56.51,"None","quella_success_1786430199969.png"
"2026-08-11T06:38:10.291Z","SUCCESS",25.07,"None","N/A"
"2026-08-11T06:49:44.925Z","SUCCESS",53.66,"None","N/A"
"2026-08-11T06:50:54.421Z","SUCCESS",68.02,"None","N/A"
"2026-08-11T07:02:17.413Z","SUCCESS",31.88,"None","N/A"
"2026-08-11T07:05:16.684Z","SUCCESS",41.20,"None","N/A"
"2026-08-11T07:06:53.089Z","SUCCESS",33.89,"None","N/A"
"2026-08-11T07:10:29.470Z","SUCCESS",23.85,"None","N/A"
"2026-08-11T07:19:13.922Z","SUCCESS",28.02,"None","N/A"
"2026-08-11T08:48:07.306Z","SUCCESS",59.37,"None","N/A"
"2026-08-11T08:51:07.947Z","SUCCESS",104.35,"None","N/A"
"2026-08-11T08:55:07.325Z","SUCCESS",32.11,"None","N/A"
"2026-08-11T08:58:43.887Z","SUCCESS",66.61,"None","N/A"
"2026-08-11T08:59:57.753Z","SUCCESS",73.49,"None","N/A"
"2026-08-11T09:00:08.993Z","SUCCESS",82.89,"None","N/A"
"2026-08-11T09:00:18.884Z","QUELLA_UNRESPONSIVE",8.94,"page.goto: Target page, context or browser has been closed Call log: [2m  - navigating to "https://wishqueuat.fexcon.com.au/", waiting until "load"[22m ","freeze_sameday_1786438818883.png"
"2026-08-11T09:02:50.481Z","SUCCESS",60.74,"None","N/A"
"2026-08-11T09:06:36.575Z","QUELLA_UNRESPONSIVE",150.23,"[2mexpect([22m[31mlocator[39m[2m).[22mtoContainText[2m([22m[32mexpected[39m[2m)[22m failed  Locator: locator('.fexcon-chat-message-assistant, .fexcon-chat-reply, div[class*="assistant"]').last() Expected substring: [32m"Yes, same-day delivery is available[7m![27m"[39m Received string:    [31m"Yes, same-day delivery is available[7m for certain products!To avail of this service:The products must be listed on https://www.wishque.com/sameday/You need to place your order before 4 PM.Deliveries are made between 3 PM and 9 PM.There's an additional charge of 300 LKR on top of the standard delivery fee.Same-day delivery is available in the following areas: Koralawalla, Pililyandala, Bellanwila, Bokundara, Polgasowita, Kiribathgoda, Thalawathugoda, Mulleriyawa, Arangala, Homagama, Mahargama, Kelaniya, Attidiya, Ratmalana, Wickramasinghapura, Kaduwela, Moratuwa, Wattala, Kalubowila, Malabe, Kottewa, Kesbewa, Sri Jayawardenepura, Colombo 12-Hultsdorf, Kohuwala, Pelawatte, Pita Kotte, Kolonnawa, Thimbirigasyaya, Dehiwala, Nedimala, Hokandara, Ethul Kotte, Baddegana, Navinna, Polhengoda, Pamunuwa, Embuldeniya, Kotikawatta, Koswatta, Pannipitiya, Udahamulla, Pagoda, Mattegoda, Wellampitiya, Pepiliyana, Borupana, Jambugasmualla, Gothatuwa, and Athurugiriya.👉 Is there anything else I can help you with?[27m"[39m  Call log: [2m  - Expect "toContainText" with timeout 120000ms[22m [2m  - waiting for locator('.fexcon-chat-message-assistant, .fexcon-chat-reply, div[class*="assistant"]').last()[22m [2m    150 × locator resolved to <div class="fexcon-message assistant-message">…</div>[22m [2m        - unexpected value "Yes, same-day delivery is available for certain products!To avail of this service:The products must be listed on https://www.wishque.com/sameday/You need to place your order before 4 PM.Deliveries are made between 3 PM and 9 PM.There's an additional charge of 300 LKR on top of the standard delivery fee.Same-day delivery is available in the following areas: Koralawalla, Pililyandala, Bellanwila, Bokundara, Polgasowita, Kiribathgoda, Thalawathugoda, Mulleriyawa, Arangala, Homagama, Mahargama, Kelaniya, Attidiya, Ratmalana, Wickramasinghapura, Kaduwela, Moratuwa, Wattala, Kalubowila, Malabe, Kottewa, Kesbewa, Sri Jayawardenepura, Colombo 12-Hultsdorf, Kohuwala, Pelawatte, Pita Kotte, Kolonnawa, Thimbirigasyaya, Dehiwala, Nedimala, Hokandara, Ethul Kotte, Baddegana, Navinna, Polhengoda, Pamunuwa, Embuldeniya, Kotikawatta, Koswatta, Pannipitiya, Udahamulla, Pagoda, Mattegoda, Wellampitiya, Pepiliyana, Borupana, Jambugasmualla, Gothatuwa, and Athurugiriya.👉 Is there anything else I can help you with?"[22m [2m  - Test timeout of 150000ms exceeded.[22m ","freeze_chat_1786439196575.png"
